iter	RMSE
0	0.6877489434
1	0.6610618174
2	0.6377349947
3	0.6170895228
4	0.5976344356
5	0.5805678687
6	0.5658384511
7	0.5531364325
8	0.5417760631
9	0.5307707395
10	0.5213359456
11	0.5131124122
12	0.5060026258
13	0.4986589212
14	0.4920545108
15	0.4861265087
16	0.4809642288
17	0.4761171458
18	0.472345765
19	0.4689081748
20	0.4659776249
21	0.4631108432
22	0.4601954422
23	0.4579122406
24	0.4554276051
25	0.4530872061
26	0.4506283182
27	0.4489826252
28	0.4469271784
29	0.4454658847
30	0.4442646867
31	0.4428943258
32	0.4411781407
33	0.4396243315
34	0.438780495
35	0.4374223935
36	0.4364826778
37	0.4355219502
38	0.4346782756
39	0.433717895
40	0.4327076677
41	0.4319260619
42	0.4312003572
43	0.4300234859
44	0.4294209556
45	0.4282756655
46	0.4277709957
47	0.4268811778
48	0.4262610254
49	0.4254960908
50	0.424665967
51	0.4241498789
52	0.4233363606
53	0.4230268311
54	0.4223602456
55	0.4219514556
56	0.4213327814
57	0.4208632572
58	0.4205084378
59	0.4202669509
60	0.4197421216
61	0.4189009399
62	0.418509553
63	0.4182552752
64	0.4179800678
65	0.4174244232
66	0.4170259809
67	0.4164255467
68	0.4160612486
69	0.4157169377
70	0.4155024276
71	0.4150387709
72	0.4146876547
73	0.4145037286
74	0.4143025577
75	0.4140420978
76	0.4138519524
77	0.4134218106
78	0.4128976073
79	0.4126311898
80	0.4124693382
81	0.412301048
82	0.4119780927
83	0.4116432752
84	0.411533818
85	0.4113164042
86	0.4111731083
87	0.4110282566
88	0.4108587631
89	0.4103414471
90	0.4099867648
91	0.4096690874
92	0.4095094759
93	0.4089408909
94	0.4087893785
95	0.4084402047
96	0.4080395017
97	0.4077233084
98	0.4076082453
99	0.4072917578
100	0.4070889785
101	0.4069144996
102	0.4067032186
103	0.4065412266
104	0.4063618109
105	0.4059849093
106	0.4056011057
107	0.4054840115
108	0.4053913956
109	0.4051918932
110	0.4047398874
111	0.4045276076
112	0.4044343328
113	0.404331256
114	0.4042105134
115	0.4041336881
116	0.4038634295
117	0.4037983489
118	0.4035264651
119	0.4031883214
120	0.4028631277
121	0.402673262
122	0.4025520343
123	0.4023367468
124	0.4022011308
125	0.4021046693
126	0.4018315732
127	0.4016369275
128	0.4014162591
129	0.4011109324
130	0.4010381576
131	0.4009336394
132	0.4007177853
133	0.4006037379
134	0.400394843
135	0.4003194351
136	0.4001915765
137	0.4000117351
138	0.3998592505
139	0.3995525601
140	0.3994186659
141	0.3993193379
142	0.3991259911
143	0.3990128385
144	0.3987390628
145	0.3986035317
146	0.3984692691
147	0.3982779844
148	0.3981265714
149	0.3979815633
150	0.3978670833
151	0.3976537414
152	0.3974217797
153	0.3972356513
154	0.3969419276
155	0.3968190452
156	0.3966739648
157	0.3965995368
158	0.3964000967
159	0.396312399
160	0.3960934949
161	0.3959633813
162	0.3958225665
163	0.3957404407
164	0.3956681141
165	0.3955424699
166	0.3954111549
167	0.3953206681
168	0.3951775257
169	0.3949755054
170	0.3948713444
171	0.3947425511
172	0.3946347692
173	0.3944144788
174	0.3943271221
175	0.3942439293
176	0.3941469961
177	0.3940089221
178	0.3939499159
179	0.3938310186
180	0.3936582887
181	0.3935234746
182	0.3933894457
183	0.3932503501
184	0.3931819006
185	0.3930080614
186	0.392828394
187	0.3927162429
188	0.3925394849
189	0.3923389065
190	0.3921831713
191	0.3920659491
192	0.3919486468
193	0.3918584937
194	0.3917275562
195	0.3915696483
196	0.3914765502
197	0.3913811827
198	0.3912499746
199	0.391109972
200	0.3909641335
201	0.3908494305
202	0.3907851953
203	0.3906773253
204	0.3905573094
205	0.3904790439
206	0.3903918101
207	0.390301062
208	0.3901839356
209	0.3900960652
210	0.3899828902
211	0.3899011286
212	0.3898259729
213	0.3897508204
214	0.3896821473
215	0.3895878029
216	0.3895420133
217	0.3894245502
218	0.3892779285
219	0.3892045445
220	0.3891331099
221	0.389040566
222	0.3889513241
223	0.3888656081
224	0.388751273
225	0.3886725745
226	0.3886004863
227	0.3885204399
228	0.3883318983
229	0.3882708354
230	0.3881945734
231	0.3881171504
232	0.3880304121
233	0.3879079225
234	0.3878208376
235	0.387781232
236	0.3877029063
237	0.3876217879
238	0.3875600161
239	0.3874673171
240	0.3873999794
241	0.3872078504
242	0.3871176477
243	0.3869959875
244	0.3869424109
245	0.3868331136
246	0.3867559652
247	0.3867155359
248	0.3866061136
249	0.3865122838
250	0.3864414031
251	0.3863968925
252	0.3863273896
253	0.3862203695
254	0.3861570526
255	0.3860937412
256	0.3860336275
257	0.385975745
258	0.3858845048
259	0.3858056165
260	0.3857254007
261	0.385675936
262	0.3856324808
263	0.3855594508
264	0.3855082341
265	0.3854484178
266	0.3853813547
267	0.3853051818
268	0.3852518585
269	0.3851929727
270	0.3851547906
271	0.3850948681
272	0.3850184047
273	0.3849613049
274	0.3849116295
275	0.3848409165
276	0.3847805881
277	0.3847262588
278	0.3846782763
279	0.3846253596
280	0.3845190983
281	0.3844573314
282	0.3844075929
283	0.384303506
284	0.3842254893
285	0.3841767548
286	0.384127797
287	0.3840223619
288	0.3839523192
289	0.3838790291
290	0.3838422068
291	0.3837739874
292	0.3836960419
293	0.3836243445
294	0.3835751062
295	0.3834996464
296	0.3834303421
297	0.3833719786
298	0.3832973232
299	0.3832434838
300	0.3831561465
301	0.3831115474
302	0.3830517144
303	0.3830054193
304	0.3829378405
305	0.382893023
306	0.382825454
307	0.3827476447
308	0.3827094001
309	0.3826541979
310	0.3826076052
311	0.3825286404
312	0.3824251297
313	0.3823930854
314	0.3823638537
315	0.3822944972
316	0.3822043983
317	0.3821124112
318	0.3820797561
319	0.3819553031
320	0.3818713676
321	0.3818397058
322	0.381821383
323	0.3817755732
