iter	Passed	Remaining
0	152	151982
1	156	77855
2	159	53047
3	163	40669
4	166	33195
5	170	28164
6	173	24599
7	176	21946
8	180	19842
9	183	18176
10	187	16848
11	190	15715
12	194	14759
13	197	13932
14	201	13221
15	205	12609
16	208	12056
17	212	11572
18	215	11140
19	219	10745
20	222	10384
21	226	10063
22	230	9772
23	233	9495
24	236	9233
25	240	8998
26	243	8780
27	247	8576
28	250	8376
29	253	8193
30	256	8015
31	259	7853
32	262	7705
33	266	7561
34	269	7429
35	272	7305
36	275	7181
37	279	7068
38	282	6964
39	287	6889
40	290	6790
41	293	6701
42	297	6611
43	301	6540
44	304	6456
45	307	6382
46	310	6304
47	314	6237
48	317	6166
49	320	6096
50	324	6030
51	327	5963
52	330	5902
53	333	5839
54	336	5779
55	339	5723
56	342	5668
57	345	5613
58	348	5562
59	351	5512
60	354	5460
61	358	5418
62	361	5372
63	364	5328
64	367	5286
65	370	5246
66	374	5210
67	377	5172
68	380	5134
69	383	5098
70	386	5059
71	389	5025
72	392	4987
73	395	4954
74	398	4919
75	401	4887
76	405	4859
77	408	4829
78	411	4801
79	415	4772
80	418	4742
81	421	4718
82	424	4690
83	427	4664
84	430	4635
85	433	4611
86	437	4586
87	440	4560
88	443	4534
89	446	4511
90	449	4487
91	452	4466
92	455	4444
93	459	4425
94	462	4404
95	465	4384
96	468	4363
97	471	4341
98	474	4320
99	477	4300
100	481	4282
101	484	4262
102	487	4243
103	490	4222
104	493	4203
105	496	4187
106	499	4172
107	502	4152
108	505	4136
109	509	4119
110	513	4111
111	516	4095
112	519	4081
113	523	4065
114	526	4049
115	529	4032
116	532	4017
117	535	4000
118	537	3982
119	540	3966
120	544	3952
121	547	3939
122	550	3924
123	553	3911
124	556	3896
125	560	3884
126	563	3870
127	566	3857
128	569	3844
129	572	3832
130	575	3817
131	578	3803
132	581	3790
133	584	3775
134	587	3762
135	590	3749
136	593	3737
137	596	3724
138	599	3713
139	602	3702
140	605	3690
141	608	3678
142	611	3667
143	614	3655
144	618	3644
145	621	3634
146	624	3623
147	627	3611
148	630	3600
149	633	3589
150	636	3578
151	639	3566
152	642	3556
153	645	3545
154	648	3534
155	651	3525
156	654	3515
157	657	3503
158	660	3494
159	663	3483
160	666	3474
161	669	3464
162	672	3454
163	675	3443
164	678	3433
165	681	3422
166	684	3413
167	687	3403
168	690	3395
169	693	3386
170	696	3377
171	700	3370
172	703	3360
173	706	3351
174	708	3342
175	711	3333
176	715	3324
177	718	3315
178	720	3306
179	723	3297
180	727	3290
181	729	3280
182	733	3273
183	736	3266
184	739	3256
185	742	3249
186	745	3241
187	748	3233
188	751	3226
189	755	3219
190	758	3212
191	761	3204
192	764	3196
193	767	3187
194	770	3180
195	773	3172
196	776	3164
197	779	3157
198	782	3149
199	785	3142
200	788	3135
201	791	3128
202	794	3120
203	798	3113
204	800	3106
205	803	3098
206	806	3090
207	809	3084
208	813	3077
209	816	3070
210	819	3064
211	822	3057
212	825	3050
213	828	3043
214	831	3036
215	835	3031
216	841	3037
217	847	3041
218	855	3050
219	861	3055
220	866	3053
221	869	3047
222	874	3048
223	878	3043
224	881	3037
225	884	3030
226	888	3023
227	890	3016
228	893	3009
229	896	3002
230	899	2995
231	903	2989
232	905	2982
233	908	2975
234	912	2969
235	914	2961
236	917	2954
237	920	2948
238	923	2941
239	927	2935
240	930	2929
241	933	2922
242	936	2916
243	939	2910
244	942	2904
245	945	2897
246	948	2891
247	951	2884
248	954	2878
249	957	2873
250	961	2867
251	963	2861
252	966	2854
253	969	2848
254	973	2843
255	976	2837
256	979	2831
257	982	2825
258	985	2818
259	988	2813
260	991	2807
261	994	2802
262	997	2796
263	1001	2790
264	1004	2784
265	1007	2778
266	1010	2772
267	1013	2767
268	1016	2761
269	1019	2756
270	1022	2749
271	1025	2744
272	1028	2738
273	1031	2732
274	1034	2726
275	1037	2721
276	1040	2716
277	1043	2710
278	1046	2704
279	1049	2699
280	1052	2694
281	1055	2688
282	1058	2682
283	1061	2676
284	1064	2670
285	1067	2665
286	1070	2660
287	1074	2655
288	1077	2650
289	1080	2645
290	1083	2639
291	1086	2634
292	1089	2628
293	1092	2623
294	1096	2619
295	1099	2613
296	1101	2608
297	1104	2602
298	1107	2597
299	1110	2591
300	1114	2587
301	1117	2582
302	1120	2576
303	1123	2571
304	1126	2566
305	1129	2560
306	1132	2555
307	1135	2550
308	1138	2545
309	1141	2540
310	1144	2536
311	1148	2531
312	1151	2526
313	1153	2521
314	1156	2515
315	1160	2511
316	1163	2506
317	1166	2501
318	1169	2496
319	1172	2492
320	1176	2487
321	1179	2482
322	1182	2477
323	1184	2471
324	1187	2466
325	1190	2461
326	1193	2456
327	1196	2452
328	1199	2446
329	1202	2441
330	1205	2437
331	1208	2432
332	1211	2427
333	1214	2422
334	1218	2418
335	1221	2413
336	1224	2408
337	1227	2403
338	1230	2399
339	1233	2394
340	1236	2390
341	1239	2385
342	1242	2380
343	1245	2376
344	1250	2373
345	1253	2368
346	1256	2363
347	1259	2359
348	1262	2354
349	1265	2350
350	1268	2345
351	1271	2340
352	1274	2335
353	1277	2331
354	1280	2326
355	1283	2321
356	1286	2316
357	1289	2311
358	1292	2306
359	1295	2303
360	1298	2298
361	1301	2294
362	1304	2289
363	1308	2285
364	1311	2281
365	1314	2277
366	1317	2272
367	1320	2268
368	1323	2263
369	1326	2259
370	1329	2254
371	1333	2250
372	1336	2246
373	1339	2241
374	1342	2237
375	1345	2233
376	1349	2229
377	1352	2225
378	1355	2220
379	1358	2216
380	1361	2212
381	1365	2208
382	1368	2204
383	1371	2200
384	1374	2196
385	1377	2191
386	1381	2187
387	1384	2183
388	1388	2180
389	1391	2176
390	1394	2171
391	1397	2167
392	1400	2163
393	1403	2159
394	1406	2154
395	1409	2150
396	1412	2146
397	1416	2142
398	1419	2138
399	1422	2133
400	1425	2130
401	1428	2125
402	1432	2121
403	1435	2117
404	1437	2112
405	1440	2108
406	1444	2104
407	1447	2100
408	1451	2096
409	1454	2092
410	1457	2088
411	1460	2084
412	1463	2080
413	1466	2076
414	1469	2071
415	1472	2067
416	1476	2063
417	1479	2059
418	1482	2055
419	1485	2051
420	1488	2047
421	1491	2043
422	1494	2039
423	1498	2035
424	1501	2031
425	1504	2027
426	1507	2023
427	1510	2018
428	1513	2014
429	1516	2010
430	1519	2006
431	1523	2002
432	1526	1999
433	1530	1995
434	1533	1991
435	1536	1987
436	1539	1983
437	1542	1979
438	1546	1975
439	1549	1971
440	1552	1967
441	1556	1964
442	1559	1960
443	1562	1956
444	1565	1952
445	1568	1947
446	1571	1943
447	1574	1939
448	1577	1935
449	1580	1931
450	1583	1927
451	1586	1923
452	1589	1919
453	1592	1915
454	1595	1911
455	1598	1906
456	1601	1903
457	1604	1898
458	1607	1894
459	1610	1890
460	1613	1886
461	1616	1882
462	1619	1878
463	1622	1873
464	1625	1870
465	1628	1866
466	1631	1862
467	1634	1858
468	1637	1854
469	1640	1850
470	1643	1846
471	1647	1842
472	1650	1838
473	1653	1834
474	1656	1830
475	1659	1827
476	1662	1823
477	1665	1819
478	1669	1815
479	1672	1811
480	1675	1807
481	1678	1803
482	1681	1800
483	1684	1796
484	1687	1792
485	1690	1788
486	1693	1784
487	1696	1780
488	1699	1776
489	1703	1772
490	1705	1768
491	1708	1764
492	1711	1759
493	1714	1755
494	1717	1752
495	1720	1748
496	1723	1744
497	1727	1740
498	1730	1737
499	1733	1733
500	1736	1729
501	1739	1725
502	1742	1721
503	1745	1718
504	1748	1714
505	1751	1710
506	1754	1706
507	1757	1702
508	1760	1698
509	1763	1694
510	1766	1690
511	1770	1687
512	1773	1683
513	1776	1680
514	1780	1676
515	1783	1672
516	1786	1668
517	1789	1664
518	1792	1661
519	1795	1657
520	1798	1653
521	1801	1649
522	1804	1645
523	1807	1641
524	1810	1638
525	1814	1634
526	1817	1630
527	1819	1626
528	1822	1623
529	1825	1619
530	1829	1615
531	1831	1611
532	1835	1607
533	1838	1604
534	1840	1600
535	1843	1596
536	1846	1592
537	1849	1588
538	1852	1584
539	1855	1580
540	1858	1576
541	1861	1573
542	1864	1569
543	1867	1565
544	1871	1562
545	1874	1558
546	1877	1554
547	1880	1550
548	1883	1546
549	1886	1543
550	1889	1539
551	1892	1535
552	1895	1532
553	1898	1528
554	1901	1524
555	1904	1520
556	1907	1517
557	1910	1513
558	1914	1510
559	1917	1506
560	1920	1502
561	1923	1499
562	1926	1495
563	1929	1491
564	1932	1487
565	1934	1483
566	1938	1480
567	1941	1476
568	1944	1473
569	1947	1469
570	1950	1465
571	1953	1461
572	1956	1457
573	1959	1454
574	1962	1450
575	1965	1446
576	1968	1443
577	1971	1439
578	1974	1435
579	1977	1432
580	1980	1428
581	1983	1424
582	1986	1421
583	1989	1417
584	1992	1413
585	1995	1409
586	1998	1406
587	2001	1402
588	2005	1399
589	2008	1395
590	2011	1392
591	2014	1388
592	2017	1384
593	2021	1381
594	2024	1377
595	2027	1374
596	2030	1370
597	2033	1366
598	2036	1363
599	2039	1359
600	2042	1355
601	2045	1352
602	2048	1348
603	2051	1344
604	2054	1341
605	2057	1337
606	2061	1334
607	2064	1330
608	2067	1327
609	2070	1323
610	2073	1320
611	2076	1316
612	2079	1312
613	2082	1309
614	2085	1305
615	2088	1302
616	2092	1298
617	2094	1294
618	2098	1291
619	2101	1287
620	2104	1284
621	2107	1280
622	2110	1277
623	2113	1273
624	2117	1270
625	2120	1266
626	2123	1263
627	2126	1259
628	2129	1255
629	2132	1252
630	2136	1249
631	2138	1245
632	2141	1241
633	2145	1238
634	2148	1234
635	2151	1231
636	2154	1227
637	2157	1224
638	2160	1220
639	2164	1217
640	2167	1213
641	2170	1210
642	2173	1207
643	2177	1203
644	2180	1199
645	2183	1196
646	2186	1193
647	2190	1189
648	2193	1186
649	2197	1183
650	2200	1179
651	2204	1176
652	2207	1173
653	2211	1169
654	2215	1166
655	2218	1163
656	2221	1159
657	2225	1156
658	2228	1153
659	2232	1150
660	2235	1146
661	2239	1143
662	2242	1139
663	2245	1136
664	2249	1133
665	2252	1129
666	2257	1126
667	2260	1123
668	2263	1120
669	2267	1116
670	2270	1113
671	2274	1109
672	2277	1106
673	2280	1103
674	2283	1099
675	2287	1096
676	2290	1092
677	2293	1089
678	2297	1086
679	2300	1082
680	2304	1079
681	2307	1076
682	2311	1072
683	2314	1069
684	2317	1065
685	2321	1062
686	2324	1059
687	2327	1055
688	2331	1052
689	2334	1049
690	2338	1045
691	2341	1042
692	2344	1038
693	2348	1035
694	2352	1032
695	2355	1028
696	2359	1025
697	2362	1022
698	2366	1018
699	2369	1015
700	2372	1011
701	2375	1008
702	2379	1005
703	2382	1001
704	2385	998
705	2389	994
706	2392	991
707	2395	988
708	2399	984
709	2402	981
710	2405	977
711	2409	974
712	2412	971
713	2415	967
714	2419	964
715	2422	961
716	2426	957
717	2429	954
718	2432	950
719	2436	947
720	2439	943
721	2442	940
722	2446	937
723	2449	933
724	2453	930
725	2456	927
726	2459	923
727	2462	920
728	2465	916
729	2469	913
730	2473	910
731	2476	906
732	2479	903
733	2483	899
734	2486	896
735	2489	893
736	2493	889
737	2496	886
738	2499	882
739	2502	879
740	2506	876
741	2509	872
742	2513	869
743	2516	865
744	2519	862
745	2523	859
746	2526	855
747	2529	852
748	2533	848
749	2536	845
750	2540	842
751	2543	838
752	2547	835
753	2550	832
754	2554	828
755	2557	825
756	2560	821
757	2563	818
758	2567	815
759	2570	811
760	2573	808
761	2577	804
762	2580	801
763	2583	798
764	2586	794
765	2589	791
766	2593	787
767	2597	784
768	2600	781
769	2603	777
770	2606	774
771	2609	770
772	2612	767
773	2615	763
774	2619	760
775	2622	757
776	2626	753
777	2629	750
778	2632	746
779	2635	743
780	2639	740
781	2643	736
782	2647	733
783	2650	730
784	2653	726
785	2656	723
786	2659	719
787	2663	716
788	2666	713
789	2669	709
790	2672	706
791	2675	702
792	2678	699
793	2681	695
794	2684	692
795	2687	688
796	2690	685
797	2693	681
798	2696	678
799	2700	675
800	2703	671
801	2707	668
802	2710	664
803	2713	661
804	2717	658
805	2720	654
806	2724	651
807	2727	648
808	2730	644
809	2733	641
810	2737	637
811	2740	634
812	2743	630
813	2746	627
814	2749	624
815	2752	620
816	2755	617
817	2758	613
818	2761	610
819	2765	606
820	2768	603
821	2771	600
822	2774	596
823	2777	593
824	2780	589
825	2783	586
826	2787	583
827	2790	579
828	2793	576
829	2797	572
830	2800	569
831	2804	566
832	2807	562
833	2810	559
834	2813	555
835	2816	552
836	2819	549
837	2823	545
838	2826	542
839	2829	538
840	2832	535
841	2835	532
842	2838	528
843	2841	525
844	2844	521
845	2847	518
846	2850	514
847	2854	511
848	2857	508
849	2860	504
850	2863	501
851	2866	497
852	2869	494
853	2872	491
854	2875	487
855	2878	484
856	2881	480
857	2884	477
858	2887	473
859	2890	470
860	2893	467
861	2896	463
862	2899	460
863	2902	456
864	2905	453
865	2909	450
866	2912	446
867	2915	443
868	2918	440
869	2921	436
870	2925	433
871	2928	429
872	2931	426
873	2934	423
874	2938	419
875	2941	416
876	2944	412
877	2947	409
878	2950	406
879	2954	402
880	2957	399
881	2960	396
882	2963	392
883	2967	389
884	2970	385
885	2973	382
886	2976	379
887	2980	375
888	2983	372
889	2986	369
890	2989	365
891	2993	362
892	2996	359
893	2999	355
894	3002	352
895	3005	348
896	3009	345
897	3012	342
898	3015	338
899	3019	335
900	3022	332
901	3025	328
902	3029	325
903	3032	322
904	3035	318
905	3039	315
906	3042	311
907	3045	308
908	3048	305
909	3051	301
910	3055	298
911	3058	295
912	3061	291
913	3064	288
914	3067	284
915	3071	281
916	3074	278
917	3078	274
918	3081	271
919	3084	268
920	3088	264
921	3091	261
922	3094	258
923	3098	254
924	3101	251
925	3104	248
926	3107	244
927	3111	241
928	3114	238
929	3117	234
930	3120	231
931	3123	227
932	3126	224
933	3130	221
934	3133	217
935	3136	214
936	3140	211
937	3143	207
938	3147	204
939	3150	201
940	3153	197
941	3157	194
942	3160	191
943	3164	187
944	3167	184
945	3170	181
946	3174	177
947	3178	174
948	3181	170
949	3185	167
950	3188	164
951	3191	160
952	3195	157
953	3198	154
954	3201	150
955	3204	147
956	3208	144
957	3211	140
958	3214	137
959	3217	134
960	3221	130
961	3224	127
